postcode,avg_download_speed,max_download_speed,town,county
CA1 1AE,25.6,76.6,Carlisle,Cumberland
CA1 1AF,34.3,79.9,Carlisle,Cumberland
CA1 1BB,22.3,40,Carlisle,Cumberland
CA1 1BE,39.4,78.5,Carlisle,Cumberland
CA1 1BG,62.3,80,Carlisle,Cumberland
CA1 1BJ,39.4,80,Carlisle,Cumberland
CA1 1DB,44.7,80,Carlisle,Cumberland
CA1 1DH,32.8,80,Carlisle,Cumberland
CA1 1DP,46.5,78.2,Carlisle,Cumberland
CA1 1DQ,64,80,Carlisle,Cumberland
CA1 1DR,51,80,Carlisle,Cumberland
CA1 1EA,61.4,80,Carlisle,Cumberland
CA1 1EB,42,80,Carlisle,Cumberland
CA1 1EJ,55.1,80,Carlisle,Cumberland
CA1 1EL,41.6,79,Carlisle,Cumberland
CA1 1EX,47.2,79.9,Carlisle,Cumberland
CA1 1HB,34.1,79.9,Carlisle,Cumberland
CA1 1HE,33.7,79.9,Carlisle,Cumberland
CA1 1HJ,36.8,80,Carlisle,Cumberland
CA1 1HL,43.8,76,Carlisle,Cumberland
CA1 1HP,40.2,74.1,Carlisle,Cumberland
CA1 1HQ,34,78.8,Carlisle,Cumberland
CA1 1HR,47.5,106.3,Carlisle,Cumberland
CA1 1HT,48.2,79.9,Carlisle,Cumberland
CA1 1JA,57.2,79.9,Carlisle,Cumberland
CA1 1JN,22.6,23.1,Carlisle,Cumberland
CA1 1JP,39.7,200,Carlisle,Cumberland
CA1 1JS,54.8,106.3,Carlisle,Cumberland
CA1 1JT,52.2,106.3,Carlisle,Cumberland
CA1 1JU,38.9,80,Carlisle,Cumberland
CA1 1JZ,49.3,200,Carlisle,Cumberland
CA1 1LA,39.8,100,Carlisle,Cumberland
CA1 1LB,34.2,80,Carlisle,Cumberland
CA1 1LE,30.4,79.9,Carlisle,Cumberland
CA1 1LF,46.2,100,Carlisle,Cumberland
CA1 1LG,51.3,80,Carlisle,Cumberland
CA1 1LH,53.2,106.3,Carlisle,Cumberland
CA1 1LJ,43.6,106.3,Carlisle,Cumberland
CA1 1LP,45.7,106.3,Carlisle,Cumberland
CA1 1LQ,37,79.4,Carlisle,Cumberland
CA1 1LR,45.6,106.3,Carlisle,Cumberland
CA1 1LS,52.8,106.3,Carlisle,Cumberland
CA1 1LT,51,77.9,Carlisle,Cumberland
CA1 1LU,43,79.9,Carlisle,Cumberland
CA1 1LX,39.5,80,Carlisle,Cumberland
CA1 1NB,44.4,79.9,Carlisle,Cumberland
CA1 1NG,42.5,80,Carlisle,Cumberland
CA1 1NL,18.9,80,Carlisle,Cumberland
CA1 1NS,28.3,40,Carlisle,Cumberland
CA1 1NT,37.8,80,Carlisle,Cumberland
CA1 1NX,82.9,106.3,Carlisle,Cumberland
CA1 1PE,48.5,106.3,Carlisle,Cumberland
CA1 1PX,21.5,23.8,Carlisle,Cumberland
CA1 1PY,39.8,80,Carlisle,Cumberland
CA1 1QN,19,23.6,Carlisle,Cumberland
CA1 1QP,43.3,79.9,Carlisle,Cumberland
CA1 1QS,34.2,80,Carlisle,Cumberland
CA1 1QW,37.9,79.7,Carlisle,Cumberland
CA1 1RL,52.1,79.9,Carlisle,Cumberland
CA1 1RP,41.2,80,Carlisle,Cumberland
CA1 1RU,41.3,106.3,Carlisle,Cumberland
CA1 1RX,43.9,106.3,Carlisle,Cumberland
CA1 1RY,32.9,66.9,Carlisle,Cumberland
CA1 1RZ,32.7,73.9,Carlisle,Cumberland
CA1 1SE,41.2,106.3,Carlisle,Cumberland
CA1 1SG,31.7,48.6,Carlisle,Cumberland
CA1 1SH,43.1,79.7,Carlisle,Cumberland
CA1 1SN,29.6,75,Carlisle,Cumberland
CA1 1SQ,39.9,106.3,Carlisle,Cumberland
CA1 1SR,35.8,80,Carlisle,Cumberland
CA1 1TF,51.2,80,Carlisle,Cumberland
CA12 4AA,36.6,77.4,Allerdale,Cumberland
CA12 4AB,37.1,80,Allerdale,Cumberland
CA12 4AF,18.8,23.8,Allerdale,Cumberland
CA12 4AN,28.6,79.9,Allerdale,Cumberland
CA12 4AP,25.7,76.7,Allerdale,Cumberland
CA12 4AQ,28.3,67.9,Allerdale,Cumberland
CA12 4AT,22.9,73.2,Allerdale,Cumberland
CA12 4AW,51.3,79.9,Allerdale,Cumberland
CA12 4AY,20.3,39.8,Allerdale,Cumberland
CA12 4AZ,19.1,54.9,Allerdale,Cumberland
CA12 4BA,15.9,28,Allerdale,Cumberland
CA12 4BE,34.7,79.9,Allerdale,Cumberland
CA12 4BG,28.3,54.9,Allerdale,Cumberland
CA12 4BL,16.1,18,Allerdale,Cumberland
CA12 4BN,31.9,40,Allerdale,Cumberland
CA12 4BY,45.1,80,Allerdale,Cumberland
CA12 4BZ,32.1,80,Allerdale,Cumberland
CA12 4DA,30.2,55,Allerdale,Cumberland
CA12 4DE,33,79.9,Allerdale,Cumberland
CA12 4DF,31.6,80,Allerdale,Cumberland
CA12 4DG,36.9,80,Allerdale,Cumberland
CA12 4DH,55.9,77.6,Allerdale,Cumberland
CA12 4DJ,33.4,79.9,Allerdale,Cumberland
CA12 4DL,32.5,71.2,Allerdale,Cumberland
CA12 4DN,22.5,40,Allerdale,Cumberland
CA12 4DP,34.7,77.7,Allerdale,Cumberland
CA12 4DQ,42.3,79.9,Allerdale,Cumberland
CA12 4DR,32.7,79.9,Allerdale,Cumberland
CA12 4DS,23.9,38.3,Allerdale,Cumberland
CA12 4DT,31.6,78.8,Allerdale,Cumberland
CA12 4DX,47.3,79.9,Allerdale,Cumberland
CA12 4DZ,28.8,65.1,Allerdale,Cumberland
CA12 4EA,44.7,77.7,Allerdale,Cumberland
CA12 4EE,27.9,70.9,Allerdale,Cumberland
CA12 4EF,36.2,79.9,Allerdale,Cumberland
CA12 4EG,52.4,78.2,Allerdale,Cumberland
CA12 4EH,21.5,40,Allerdale,Cumberland
CA12 4EJ,43.1,79.7,Allerdale,Cumberland
CA12 4EL,42.3,80,Allerdale,Cumberland
CA12 4EN,44.6,80,Allerdale,Cumberland
CA12 4EP,34.3,80,Allerdale,Cumberland
CA12 4ET,35.2,79.2,Allerdale,Cumberland
CA12 4EW,35.3,66.9,Allerdale,Cumberland
CA12 4HD,49.2,76.6,Allerdale,Cumberland
CA12 4HE,27.3,55,Allerdale,Cumberland
CA12 4HF,40.6,79.7,Allerdale,Cumberland
CA12 4HH,35,79.7,Allerdale,Cumberland
CA12 4HL,48.5,80,Allerdale,Cumberland
CA12 4HN,23.6,79.4,Allerdale,Cumberland
CA12 4HP,36.2,79.3,Allerdale,Cumberland
CA12 4HQ,14.5,23.4,Allerdale,Cumberland
CA12 4HS,32.5,79.9,Allerdale,Cumberland
CA12 4HT,30.1,70.9,Allerdale,Cumberland
CA12 4HU,48.4,80,Allerdale,Cumberland
CA12 4HW,41.2,80,Allerdale,Cumberland
CA12 4HX,34.9,79.9,Allerdale,Cumberland
CA12 4HY,24.3,54.9,Allerdale,Cumberland
CA12 4HZ,32.2,80,Allerdale,Cumberland
CA12 4JA,36.2,80,Allerdale,Cumberland
CA12 4JB,26.6,54.9,Allerdale,Cumberland
CA12 4JD,38.8,76.6,Allerdale,Cumberland
CA12 4JE,33.5,80,Allerdale,Cumberland
CA12 4JF,32.9,80,Allerdale,Cumberland
CA12 4JG,32.8,79.9,Allerdale,Cumberland
CA12 4JH,32.3,57.4,Allerdale,Cumberland
CA12 4JJ,30.2,79.9,Allerdale,Cumberland
CA12 4JL,42.4,79.9,Allerdale,Cumberland
CA12 4JN,20.8,55,Allerdale,Cumberland
CA12 4JS,32.8,55,Allerdale,Cumberland
CA12 4JT,54.8,80,Allerdale,Cumberland
CA12 4JY,34.3,74.7,Allerdale,Cumberland
CA12 4LA,31.5,67,Allerdale,Cumberland
CA12 4LB,36.2,73.8,Allerdale,Cumberland
CA12 4LD,27,40,Allerdale,Cumberland
CA12 4LE,21.9,40,Allerdale,Cumberland
CA12 4LF,29.6,73.8,Allerdale,Cumberland
CA12 4LG,31.9,58.9,Allerdale,Cumberland
CA12 4LJ,38.9,80,Allerdale,Cumberland
CA12 4LL,31.6,79.9,Allerdale,Cumberland
CA12 4LN,34,79.9,Allerdale,Cumberland
CA12 4LP,44,74,Allerdale,Cumberland
CA12 4LQ,35.6,63.4,Allerdale,Cumberland
CA12 4LR,40.4,80,Allerdale,Cumberland
CA12 4LS,48.7,80,Allerdale,Cumberland
CA12 4LT,29,47.6,Allerdale,Cumberland
CA12 4LW,43.2,79.9,Allerdale,Cumberland
CA12 4LY,33.9,73.2,Allerdale,Cumberland
CA12 4LZ,22.7,44.1,Allerdale,Cumberland
CA12 4NB,43.4,79.9,Allerdale,Cumberland
CA12 4ND,27,79.9,Allerdale,Cumberland
CA12 4NL,19.1,65.2,Allerdale,Cumberland
CA12 4NN,11,23.3,Allerdale,Cumberland
CA12 4NP,29.7,45.7,Allerdale,Cumberland
CA12 4NT,11,24,Allerdale,Cumberland
CA12 4NW,20.8,40.3,Allerdale,Cumberland
CA12 4NX,31.1,51.9,Allerdale,Cumberland
CA12 4NZ,35.6,70.5,Allerdale,Cumberland
CA12 4PB,30.6,79.9,Allerdale,Cumberland
CA12 4PD,30.8,80,Allerdale,Cumberland
CA12 4PF,13,29.2,Allerdale,Cumberland
CA12 4PG,15,27.8,Allerdale,Cumberland
CA12 4PL,21.7,40,Allerdale,Cumberland
CA12 4PN,24.5,80,Allerdale,Cumberland
CA12 4PP,35.7,80,Allerdale,Cumberland
CA12 4PS,11.7,40,Allerdale,Cumberland
CA12 4PT,1.9,3.7,Allerdale,Cumberland
CA12 4PY,6.2,13.5,Allerdale,Cumberland
CA12 4PZ,4.3,8.9,Allerdale,Cumberland
CA12 4QA,10.9,28.1,Allerdale,Cumberland
CA12 4QD,1.8,6.2,Allerdale,Cumberland
CA12 4QE,10.6,40,Allerdale,Cumberland
CA12 4QG,1.4,3.3,Allerdale,Cumberland
CA12 4QH,26.4,55,Allerdale,Cumberland
CA12 4QJ,27.9,52.2,Allerdale,Cumberland
CA12 4QL,34.7,55,Allerdale,Cumberland
CA12 4QP,13.8,42.6,Allerdale,Cumberland
CA12 4QR,15.9,40,Allerdale,Cumberland
CA12 4QS,14.8,23.3,Allerdale,Cumberland
CA12 4QW,26.6,40,Allerdale,Cumberland
CA12 4QX,0.8,1.4,Allerdale,Cumberland
CA12 4QY,7.8,29.5,Allerdale,Cumberland
CA12 4QZ,7.3,55,Allerdale,Cumberland
CA12 4RD,13.3,28,Allerdale,Cumberland
CA12 4RG,36.5,80,Allerdale,Cumberland
CA12 4RJ,6.1,30.4,Allerdale,Cumberland
CA12 4RL,46.9,79.9,Allerdale,Cumberland
CA12 4RN,24.6,77.3,Allerdale,Cumberland
CA12 4RR,11.1,17.3,Allerdale,Cumberland
CA12 4TD,19.6,52.6,Allerdale,Cumberland
CA12 4TE,11.1,22.2,Allerdale,Cumberland
CA12 4TF,4.2,11.2,Allerdale,Cumberland
CA12 4TL,31.3,76.6,Allerdale,Cumberland
CA12 4TN,8.6,28.5,Allerdale,Cumberland
CA12 4TQ,16.6,50.7,Allerdale,Cumberland
CA12 4TR,38.7,70.1,Allerdale,Cumberland
CA12 4TS,3.2,7.5,Allerdale,Cumberland
CA12 4TT,17.6,47,Allerdale,Cumberland
CA12 4TU,25.7,54.9,Allerdale,Cumberland
CA12 4TW,19.4,40,Allerdale,Cumberland
CA12 4TX,43.7,55,Allerdale,Cumberland
CA12 4TY,14,19.4,Allerdale,Cumberland
CA12 4UB,2.9,3.8,Allerdale,Cumberland
CA12 5AE,50.1,79.7,Allerdale,Cumberland
CA12 5AG,39.1,80,Allerdale,Cumberland
CA12 5AH,34.7,80,Allerdale,Cumberland
CA12 5AJ,30.5,76.9,Allerdale,Cumberland
CA12 5AL,38.5,77.8,Allerdale,Cumberland
CA12 5AP,28.9,61.6,Allerdale,Cumberland
CA12 5AQ,45.1,80,Allerdale,Cumberland
CA12 5AS,37.2,80,Allerdale,Cumberland
CA12 5AW,25.6,39.8,Allerdale,Cumberland
CA12 5AX,27.6,79.9,Allerdale,Cumberland
CA12 5AZ,18.6,20.4,Allerdale,Cumberland
CA12 5BB,44.9,80,Allerdale,Cumberland
CA12 5BH,26.3,40,Allerdale,Cumberland
CA12 5BJ,52.7,79.9,Allerdale,Cumberland
CA12 5BL,35.6,80,Allerdale,Cumberland
CA12 5BS,23.6,79.7,Allerdale,Cumberland
CA12 5BU,18.8,21.9,Allerdale,Cumberland
CA12 5BW,35.6,79.9,Allerdale,Cumberland
CA12 5BX,27.2,74.9,Allerdale,Cumberland
CA12 5BY,20,20,Allerdale,Cumberland
CA12 5BZ,28.7,40,Allerdale,Cumberland
CA12 5DD,36.6,79.9,Allerdale,Cumberland
CA12 5DE,15.9,20.5,Allerdale,Cumberland
CA12 5DH,34.1,40,Allerdale,Cumberland
CA12 5DJ,19.1,40,Allerdale,Cumberland
CA12 5DP,17.9,30.9,Allerdale,Cumberland
CA12 5DQ,27.8,64.1,Allerdale,Cumberland
CA12 5DR,21,79.9,Allerdale,Cumberland
CA12 5DS,19.5,40,Allerdale,Cumberland
CA12 5DT,42.1,80,Allerdale,Cumberland
CA12 5DW,32,79.9,Allerdale,Cumberland
CA12 5DX,16.1,16.3,Allerdale,Cumberland
CA12 5DZ,29.9,80,Allerdale,Cumberland
CA12 5ED,29.9,79.9,Allerdale,Cumberland
CA12 5EE,21.8,40,Allerdale,Cumberland
CA12 5EH,26.3,79.9,Allerdale,Cumberland
CA12 5EJ,34.7,79.7,Allerdale,Cumberland
CA12 5EL,28.1,79.9,Allerdale,Cumberland
CA12 5EQ,33.7,80,Allerdale,Cumberland
CA12 5ER,37,63.7,Allerdale,Cumberland
CA12 5ES,32.1,54.9,Allerdale,Cumberland
CA12 5EU,23.3,74.8,Allerdale,Cumberland
CA12 5EX,18.1,19.3,Allerdale,Cumberland
CA12 5EY,28,67.8,Allerdale,Cumberland
CA12 5EZ,29.2,58.5,Allerdale,Cumberland
