county,town,year,month_num,crime_type,crime_count,population,crime_rate_per_10k
Cheshire,Cheshire East,2022,12,Drugs,72,1000000,0.72
Cheshire,Cheshire East,2022,12,Robbery,11,1000000,0.11
Cheshire,Cheshire East,2022,12,Vehicle crime,62,1000000,0.62
Cheshire,Cheshire East,2023,1,Drugs,65,1000000,0.6499999999999999
Cheshire,Cheshire East,2023,1,Robbery,13,1000000,0.13
Cheshire,Cheshire East,2023,1,Vehicle crime,82,1000000,0.8200000000000001
Cheshire,Cheshire East,2023,2,Drugs,63,1000000,0.63
Cheshire,Cheshire East,2023,2,Robbery,8,1000000,0.08
Cheshire,Cheshire East,2023,2,Vehicle crime,64,1000000,0.64
Cheshire,Cheshire East,2023,3,Drugs,61,1000000,0.61
Cheshire,Cheshire East,2023,3,Robbery,14,1000000,0.13999999999999999
Cheshire,Cheshire East,2023,3,Vehicle crime,76,1000000,0.76
Cheshire,Cheshire East,2023,4,Drugs,73,1000000,0.73
Cheshire,Cheshire East,2023,4,Robbery,10,1000000,0.1
Cheshire,Cheshire East,2023,4,Vehicle crime,54,1000000,0.5399999999999999
Cheshire,Cheshire East,2023,5,Drugs,64,1000000,0.64
Cheshire,Cheshire East,2023,5,Robbery,13,1000000,0.13
Cheshire,Cheshire East,2023,5,Vehicle crime,67,1000000,0.67
Cheshire,Cheshire East,2023,6,Drugs,59,1000000,0.59
Cheshire,Cheshire East,2023,6,Robbery,5,1000000,0.05
Cheshire,Cheshire East,2023,6,Vehicle crime,69,1000000,0.69
Cheshire,Cheshire East,2023,7,Drugs,76,1000000,0.76
Cheshire,Cheshire East,2023,7,Robbery,14,1000000,0.13999999999999999
Cheshire,Cheshire East,2023,7,Vehicle crime,63,1000000,0.63
Cheshire,Cheshire East,2023,8,Drugs,58,1000000,0.58
Cheshire,Cheshire East,2023,8,Robbery,13,1000000,0.13
Cheshire,Cheshire East,2023,8,Vehicle crime,70,1000000,0.7
Cheshire,Cheshire East,2023,9,Drugs,67,1000000,0.67
Cheshire,Cheshire East,2023,9,Robbery,18,1000000,0.18
Cheshire,Cheshire East,2023,9,Vehicle crime,77,1000000,0.77
Cheshire,Cheshire East,2023,10,Drugs,86,1000000,0.86
Cheshire,Cheshire East,2023,10,Robbery,9,1000000,0.09
Cheshire,Cheshire East,2023,10,Vehicle crime,75,1000000,0.7499999999999999
Cheshire,Cheshire East,2023,11,Drugs,63,1000000,0.63
Cheshire,Cheshire East,2023,11,Robbery,5,1000000,0.05
Cheshire,Cheshire East,2023,11,Vehicle crime,76,1000000,0.76
