county,town,year,avg_house_price,median_house_price,max_house_price,min_house_price,n_transactions
Cheshire,Alderley Edge,2022,718776.6111111111,527500,3460000,4466,144
Cheshire,Alderley Edge,2023,757134.6086956522,525000,5250000,37500,115
Cheshire,Alderley Edge,2024,868324.022556391,600000,6600000,105000,133
Cheshire,Altrincham,2022,928615.3846153846,715000,2000000,12000,13
Cheshire,Altrincham,2023,970312.5,1046250,1640000,325000,8
Cheshire,Altrincham,2024,727500,425000,2300000,60000,10
Cheshire,Cheadle,2024,1293333.3333333333,420000,3100000,360000,3
Cheshire,Chester,2022,332512.8555181129,270000,7300000,2215,2374
Cheshire,Chester,2023,357388.5104431992,265000,34763576,1000,1963
Cheshire,Chester,2024,359381.02857142856,278500,23484000,1000,2065
Cheshire,Congleton,2022,308000.8761061947,281000,2776000,10000,904
Cheshire,Congleton,2023,301155.81329923274,281502.5,2550000,450,782
Cheshire,Congleton,2024,322728.6679586563,285000,5475000,540,774
Cheshire,Crewe,2022,260657.497008547,212500,5100000,2000,2340
Cheshire,Crewe,2023,251133.63636363635,195000,16680000,4000,1804
Cheshire,Crewe,2024,269780.0462065031,190000,26640000,5000,1753
Cheshire,Ellesmere Port,2022,247471.9184397163,190000,22931861,700,1128
Cheshire,Ellesmere Port,2023,237414.09645131938,195000,8125000,3600,1099
Cheshire,Ellesmere Port,2024,236537.68326693226,197000,18550000,3000,1004
Cheshire,Frodsham,2022,346644.9072463768,280000,1800000,460,345
Cheshire,Frodsham,2023,343543.49275362317,272020,2600000,1000,276
Cheshire,Frodsham,2024,345931.7544378698,288500,5500000,920,338
Cheshire,High Peak,2022,431750,431750,435000,428500,2
Cheshire,High Peak,2023,614375,437500,1415000,167500,4
Cheshire,High Peak,2024,1200000,1200000,1200000,1200000,1
Cheshire,Hyde,2023,225000,225000,225000,225000,1
Cheshire,Knutsford,2022,642621.4264392324,470000,11699977,1170,469
Cheshire,Knutsford,2023,696453.6363636364,472500,10000000,100,517
Cheshire,Knutsford,2024,582626.6209523809,430000,8388920,2900,525
Cheshire,Lymm,2022,473663.3333333333,475000,840000,245000,15
Cheshire,Lymm,2023,890083.2,835000,1550000,165416,5
Cheshire,Macclesfield,2022,382432.23222477065,260000,8400000,450,1744
Cheshire,Macclesfield,2023,357204.0129604366,274000,7000000,418,1466
Cheshire,Macclesfield,2024,385011.2046666667,290000,5625000,500,1500
Cheshire,Malpas,2022,429596.4166666667,346250,2740000,45842,156
Cheshire,Malpas,2023,491660.8962264151,421250,3215000,82500,106
Cheshire,Malpas,2024,424149.95327102806,350000,1200000,20000,107
Cheshire,Manchester,2024,20400000,20400000,20400000,20400000,1
Cheshire,Middlewich,2022,385139.8028571429,213750,45000000,2000,350
Cheshire,Middlewich,2023,365240.9335347432,195500,15700000,900,331
Cheshire,Middlewich,2024,324369.09722222225,214250,21000000,23500,288
Cheshire,Nantwich,2022,337053.7847800238,290000,3180000,250,841
Cheshire,Nantwich,2023,344967.2473919523,292500,3462000,7500,671
Cheshire,Nantwich,2024,379195.77510608203,290000,16500000,16000,707
Cheshire,Neston,2022,374995.96126760566,325000,1400000,50000,284
Cheshire,Neston,2023,375043.3654618474,306000,1970000,30000,249
Cheshire,Neston,2024,380937.55592105264,321750,1950000,22000,304
Cheshire,Northwich,2022,289163.0318627451,235000,3221742,4680,1632
Cheshire,Northwich,2023,289183.0752047654,230000,8014500,4985,1343
Cheshire,Northwich,2024,287563.47776183643,250000,2400000,2000,1394
Cheshire,Runcorn,2022,364444.44444444444,215000,875000,105000,9
Cheshire,Runcorn,2023,250427,338000,570000,635,5
Cheshire,Runcorn,2024,378611.1111111111,340000,620000,210000,9
Cheshire,Sandbach,2022,307457.619760479,260000,2150000,3831,668
Cheshire,Sandbach,2023,302961.646484375,248500,3650000,5293,512
Cheshire,Sandbach,2024,325118.4697286013,270000,4800000,4500,479
Cheshire,Stockport,2022,436103.8639308855,399995,2250000,745,463
Cheshire,Stockport,2023,484645.54678362573,379500,18500000,1195,342
Cheshire,Stockport,2024,447718.4314214464,405000,1934292,200,401
Cheshire,Stoke-On-Trent,2022,289688.05751391465,265000,1983310,450,539
Cheshire,Stoke-On-Trent,2023,288957.9243119266,267400,2536000,1050,436
Cheshire,Stoke-On-Trent,2024,315643.6218905473,251250,13000000,41382,402
Cheshire,Tarporley,2022,545130.3879003559,485000,2300000,13000,281
Cheshire,Tarporley,2023,527240.1441441441,446500,1950000,5000,222
Cheshire,Tarporley,2024,529741.9812734083,430000,2895000,6925,267
Cheshire,Tiverton,2023,290000,290000,290000,290000,1
Cheshire,Warrington,2022,637916.6666666666,525000,1850000,275000,12
Cheshire,Warrington,2023,575366.6666666666,560000,1500000,1000,15
Cheshire,Warrington,2024,718750,662500,2512000,225000,16
Cheshire,Whitchurch,2022,506122.9166666667,502500,1215000,87000,24
Cheshire,Whitchurch,2023,500132.35294117645,500000,1750000,25000,17
Cheshire,Whitchurch,2024,665444.7894736842,575000,2750000,200000,19
Cheshire,Widnes,2022,170000,170000,170000,170000,1
Cheshire,Wilmslow,2022,505461.05193236715,406250,4249999,600,828
Cheshire,Wilmslow,2023,515311.8325722983,419950,8167742,150,657
Cheshire,Wilmslow,2024,492469.37350993376,399995,3900000,1000,755
Cheshire,Winsford,2022,245844.62468513855,195000,11594579,1780,794
Cheshire,Winsford,2023,219956.77168141594,190000,5466944,2000,565
Cheshire,Winsford,2024,214716.62809917354,189950,1250000,1100,484
Cheshire,Wirral,2022,220000,220000,220000,220000,1
Cheshire,Wirral,2023,500000,500000,500000,500000,1
Cumberland,Alston,2022,260774.1935483871,212000,745000,64000,31
Cumberland,Alston,2023,211800,195000,330000,104000,5
Cumberland,Ambleside,2022,655323.4454545454,503500,3450000,70000,110
Cumberland,Ambleside,2023,510756.1538461539,437500,1266000,125000,13
Cumberland,Appleby-In-Westmorland,2022,283052.2897196262,219000,1600000,65000,107
Cumberland,Appleby-In-Westmorland,2023,283777.77777777775,227000,540000,136000,9
Cumberland,Askam-In-Furness,2022,188399.24242424243,182500,348000,40000,66
Cumberland,Askam-In-Furness,2023,226500,177500,511000,55000,7
Cumberland,Barrow-In-Furness,2022,152590.56713615023,123000,2266700,1500,1065
Cumberland,Barrow-In-Furness,2023,136767.4827586207,108500,465000,45000,145
Cumberland,Beckermet,2022,264421.05263157893,270000,650000,92000,19
Cumberland,Beckermet,2023,299388.8888888889,285000,425000,180000,9
Cumberland,Beckermet,2024,222150,218500,355000,126500,10
Cumberland,Brampton,2022,281807.4888888889,234950,1420000,53000,180
Cumberland,Brampton,2023,277294.97023809527,202500,2250000,12000,168
Cumberland,Brampton,2024,315016.8163265306,237500,3500000,3000,147
Cumberland,Broughton-In-Furness,2022,438197.25,426500,830000,119145,20
Cumberland,Broughton-In-Furness,2023,249950,249950,249950,249950,1
Cumberland,Broughton-In-Furness,2024,260000,260000,260000,260000,1
Cumberland,Carlisle,2022,247639.3364685763,160000,7166700,2000,2339
Cumberland,Carlisle,2023,201256.7823328453,152000,7388000,200,2049
Cumberland,Carlisle,2024,215344.32212475635,160000,16907894,1000,2052
Cumberland,Carnforth,2022,350243.375,310000,1790000,20000,176
Cumberland,Carnforth,2023,382571.73913043475,365000,875000,168000,23
Cumberland,Cleator,2022,129143.42105263157,88750,615000,34000,38
Cumberland,Cleator,2023,154071.39285714287,96500,740000,39999,28
Cumberland,Cleator,2024,139736.7105263158,112500,365000,5000,38
Cumberland,Cleator Moor,2022,171632.74590163934,112550,1620000,10000,122
Cumberland,Cleator Moor,2023,159318.28070175438,124000,469000,2000,114
