postcode,population
AL1  1,5453
AL1  2,6523
AL1  3,4179
AL1  4,9799
AL1  5,10226
AL10 0,9935
AL10 8,10998
AL10 9,14967
AL2  1,9507
AL2  2,6130
AL2  3,7967
AL3  4,5565
AL3  5,8831
AL3  6,4281
AL3  7,5344
AL3  8,4441
AL4  0,9308
AL4  8,6509
AL4  9,11451
AL5  1,6090
AL5  2,4676
AL5  3,4659
AL5  4,6450
AL5  5,8365
AL6  0,6434
AL6  9,4788
AL7  1,5761
AL7  2,7395
AL7  3,10114
AL7  4,10620
AL8  6,5869
AL8  7,7383
AL9  5,2085
AL9  6,1427
AL9  7,6897
B1   1,4099
B1   2,2897
B1   3,993
B10  0,8206
B10  9,17702
B11  1,11688
B11  2,3479
B11  3,17242
B11  4,12295
B12  0,4129
B12  8,8748
B12  9,7878
B13  0,13458
B13  8,7678
B13  9,15681
B14  4,12710
B14  5,10926
B14  6,12143
B14  7,7634
B15  1,2582
B15  2,9675
B15  3,5964
B16  0,10022
B16  8,6754
B16  9,6994
B17  0,8835
B17  8,9118
B17  9,7610
B18  4,6676
B18  5,5132
B18  6,1890
B18  7,2585
B19  1,8818
B19  2,7537
B19  3,3713
B2   4,451
B2   5,165
B20  1,8296
B20  2,10818
B20  3,14975
B21  0,10012
B21  8,9576
B21  9,10738
B23  5,15189
B23  6,11113
B23  7,16568
B24  0,10567
B24  8,8028
B24  9,10275
B25  8,16005
B26  1,10895
B26  2,11456
B26  3,10475
B27  6,9604
B27  7,15230
B28  0,14567
B28  8,7734
B28  9,7735
B29  4,6122
B29  5,10203
B29  6,13598
B29  7,12101
B3   1,2441
B3   2,133
B30  1,10109
B30  2,11521
B30  3,7454
B31  1,11388
B31  2,12076
B31  3,11150
B31  4,9928
B31  5,9760
B32  1,9377
B32  2,12079
B32  3,11942
B32  4,5120
B33  0,10462
B33  8,11937
B33  9,12114
B34  6,11167
B34  7,8160
B35  6,4240
B35  7,5731
B36  0,12698
B36  8,12779
B36  9,9274
B37  5,9965
B37  6,11857
B37  7,13906
B38  0,2084
B38  8,9201
B38  9,10069
B4   6,340
B4   7,4343
B42  1,10974
B42  2,13393
B43  5,10947
B43  6,6541
B43  7,10953
B44  0,15427
B44  8,10020
B44  9,11644
B45  0,7143
B45  8,10605
B45  9,12437
B46  1,7223
B46  2,2147
B46  3,2702
B47  5,6596
B47  6,2759
B48  7,5796
B49  5,4344
B49  6,5845
B5   4,2134
B5   5,865
B5   6,222
B5   7,8762
B50  4,5350
B6   4,1090
B6   5,4388
B6   6,11456
B6   7,2730
B60  1,7692
B60  2,7881
B60  3,9030
B60  4,3348
B61  0,10028
B61  7,5187
B61  8,5803
B61  9,2452
B62  0,6307
B62  8,8042
B62  9,10052
B63  1,5920
B63  2,12109
B63  3,7834
B63  4,10568
B64  5,3740
B64  6,6879
B64  7,5909
B65  0,5899
B65  8,7767
B65  9,10104
B66  1,3650
B66  2,1588
B66  3,7268
B66  4,8828
B67  5,9923
B67  6,10540
B67  7,9924
B68  0,9240
B68  8,9686
B68  9,11662
B69  1,14938
B69  2,5166
B69  3,3550
B69  4,5304
B7   4,3586
B7   5,4960
B70  0,6915
B70  6,6871
B70  7,3039
B70  8,3915
B70  9,7252
B71  1,8545
B71  2,10140
B71  3,8645
B71  4,3660
B72  1,9569
B73  5,13303
B73  6,9498
B74  2,9906
B74  3,11322
B74  4,11242
B75  5,8079
B75  6,8894
B75  7,9714
B76  0,378
B76  1,11672
B76  2,6525
B76  9,3076
B77  1,10716
B77  2,14627
B77  3,8833
B77  4,14200
B77  5,8937
B78  1,10197
B78  2,4379
B78  3,9798
B79  0,3210
B79  7,6117
B79  8,10494
B79  9,2305
B8   1,10570
B8   2,15262
B8   3,16097
B80  7,7060
B9   4,4358
B9   5,20545
B90  1,10555
B90  2,12790
B90  3,10416
B90  4,11598
B91  1,10876
B91  2,11752
B91  3,10538
B92  0,3980
B92  7,12664
B92  8,12428
B92  9,8173
B93  0,3467
B93  8,7783
B93  9,8456
B94  5,3870
B94  6,3510
B95  5,3908
B95  6,1755
B96  6,5073
B97  4,5757
B97  5,16741
B97  6,10996
B98  0,14516
B98  7,19783
B98  8,9422
B98  9,6337
BA1  1,1875
BA1  2,6533
BA1  3,7564
BA1  4,5319
BA1  5,4524
BA1  6,8242
BA1  7,5514
BA1  8,904
BA1  9,248
BA10 0,3739
BA11 1,4992
BA11 2,10935
BA11 3,4944
BA11 4,6285
BA11 5,3424
BA11 6,1874
BA12 0,5660
BA12 6,4285
BA12 7,3068
BA12 8,8989
BA12 9,6506
BA13 2,1303
BA13 3,12876
BA13 4,6045
BA14 0,12465
BA14 6,5938
BA14 7,15181
BA14 8,5810
BA14 9,8744
BA15 1,9149
BA15 2,3990
BA16 0,10396
BA16 9,2645
BA2  0,4579
BA2  1,12851
BA2  2,10477
BA2  3,9376
BA2  4,6277
BA2  5,7220
BA2  6,6122
BA2  7,7173
BA2  8,7655
BA2  9,2022
BA20 1,2173
BA20 2,8692
BA21 3,15100
BA21 4,8900
BA21 5,9619
BA22 7,3881
BA22 8,8965
BA22 9,5320
BA3  2,9801
BA3  3,10411
BA3  4,7556
BA3  5,6942
BA4  4,5159
BA4  5,8299
BA4  6,4317
BA5  1,6065
BA5  2,7253
BA5  3,4216
BA6  8,6437
BA6  9,6433
BA7  7,3514
BA8  0,4153
BA9  8,1484
BA9  9,5758
BB1  1,12317
BB1  2,9179
BB1  3,2784
BB1  4,6625
